ID,Race,SeatHolder,Gender,TermStart,Birthday,Decision,DaysofTerm,Age,Swearin,Original
1,AL-01,"Jerry L. Carl, Jr.",Male,2021-01-03,1958-06-17,Reelection (Lost Renomination),1402,66,63,TRUE
2,AL-02,F. Barry Moore,Male,2021-01-03,1966-09-26,Reelection (Redistricting; Won Renomination),1402,58,54,TRUE
3,AL-03,Michael D. Rogers,Male,2003-01-03,1958-07-16,Reelection (Renominated),7977,66,44,TRUE
4,AL-04,Robert B. Aderholt,Male,1997-01-03,1965-07-22,Reelection (Renominated),10168,59,31,TRUE
5,AL-05,Dale W. Strong,Male,2023-01-03,1970-05-08,Reelection (Renominated),672,54,53,TRUE
6,AL-06,Gary J. Palmer,Male,2015-01-03,1970-05-08,Reelection (Renominated),3594,54,45,TRUE
7,AL-07,Terrycina A. Sewell,Female,2011-01-03,1965-01-01,Reelection (Renominated),5055,60,46,TRUE
8,AK-AL (First Round),Mary Sattler Peltola,Female,2022-09-13,1973-08-31,Reelection (Renominated),784,51,49,TRUE
9,AK-AL (Second Round),Mary Sattler Peltola,Female,2022-09-13,1973-08-31,Reelection (Renominated),784,51,49,FALSE
10,AK-AL (Final Round),Mary Sattler Peltola,Female,2022-09-13,1973-08-31,Reelection (Renominated),784,51,49,FALSE
11,AZ-Sen,Kyrsten L. Sinema,Female,2019-01-03,1976-07-12,Retired,2133,48,42,TRUE
12,AZ-01,David S. Schweikert,Male,2011-01-03,1962-03-03,Reelection (Renominated),5055,63,49,TRUE
13,AZ-02,Elijah J. Crane,Male,2023-01-03,1980-01-03,Reelection (Renominated),672,45,43,TRUE
14,AZ-03,Ruben M. Gallego,Male,2015-01-03,1979-11-20,Retired (Higher Office),3594,45,35,TRUE
15,AZ-04,Gregory J. Stanton,Male,2019-01-03,1970-03-08,Reelection (Renominated),2133,55,49,TRUE
16,AZ-05,Andrew S. Biggs,Male,2017-01-03,1958-11-07,Reelection (Renominated),2863,66,58,TRUE
17,AZ-06,Juan G. Ciscomani III,Male,2023-01-03,1982-08-31,Reelection (Renominated),672,42,40,TRUE
18,AZ-07,Raúl M. Grijalva,Male,2003-01-03,1948-02-19,Retired,7977,77,55,TRUE
19,AZ-08,Debra K. Lesko,Female,2018-05-07,1958-11-14,Retired (Higher Office),2374,66,59,TRUE
20,AZ-09,Paul A. Gosar,Male,2011-01-03,1966-01-22,Reelection (Renominated),5055,59,45,TRUE
21,AR-01,Eric A. Crawford,Male,2011-01-03,1966-01-22,Reelection (Renominated),5055,59,45,TRUE
22,AR-02,J. French Hill,Male,2015-01-03,1956-12-05,Reelection (Renominated),3594,68,58,TRUE
23,AR-03,Stephen A. Womack,Male,2011-01-03,1957-02-18,Reelection (Renominated),5055,68,54,TRUE
