ID,Nominee,Party,Gender,State,Region,WiderRegion,Type,Race,Class,Incumbent,Victor,Votes,Share,Total,HeldBy,Hometown,ElectionDay,ElectionYear,YearType,LastElection,Final,Special,Runoff
1,F. Barry Moore,Republican,Male,Alabama,South Central,South,House,AL-01,Class 1,TRUE,TRUE,258619,0.784,329854,Republican,"Enterprise, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
2,"Thomas B. Holmes, Jr.",Democratic,Male,Alabama,South Central,South,House,AL-01,Class 1,FALSE,FALSE,70929,0.215,329854,Republican,"Mobile, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
3,Caroleene Hardee Dobson,Republican,Female,Alabama,South Central,South,House,AL-02,Class 1,FALSE,FALSE,131414,0.4537,289674,New Seat,"Montgomery, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
4,Shomari C. Figures,Democratic,Male,Alabama,South Central,South,House,AL-02,Class 1,FALSE,TRUE,158041,0.5456,289674,New Seat,"Mobile, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
5,Michael D. Rogers,Republican,Male,Alabama,South Central,South,House,AL-03,Class 1,TRUE,TRUE,243848,0.9793,249008,Republican,"Weaver, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
6,Robert B. Aderholt,Republican,Male,Alabama,South Central,South,House,AL-04,Class 1,TRUE,TRUE,274498,0.9879,277872,Republican,"Haleyville, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
7,Dale W. Strong,Republican,Male,Alabama,South Central,South,House,AL-05,Class 1,TRUE,TRUE,250322,0.9539,262410,Republican,"Huntsville, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
8,Gary J. Palmer,Republican,Male,Alabama,South Central,South,House,AL-06,Class 1,TRUE,TRUE,243741,0.7032,346625,Republican,"Hoover, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
9,Elizabeth A. Anderson,Democratic,Female,Alabama,South Central,South,House,AL-06,Class 1,FALSE,FALSE,102504,0.2957,346625,Republican,"Vestavia Hills, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
10,Dr. Robin A. Litaker,Republican,Female,Alabama,South Central,South,House,AL-07,Class 1,FALSE,FALSE,106312,0.3626,293220,Democratic,"Homewood, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
