ID,Race,PVI Lean,PVI,Cook Rating
1,AL-01,R+,28,Solid R
2,AL-02,D+,4,Likely D
3,AL-03,R+,23,Solid R
4,AL-04,R+,33,Solid R
5,AL-05,R+,17,Solid R
6,AL-06,R+,22,Solid R
7,AL-07,D+,12,Solid D
8,AK-AL,R+,8,Tossup
9,AK-AL (First Round),R+,8,Tossup
10,AK-AL (Second Round),R+,8,Tossup
11,AK-AL (Final Round),R+,8,Tossup
12,AZ-Sen,R+,2,Lean D
13,AZ-01,R+,2,Tossup
14,AZ-02,R+,6,Likely R
15,AZ-03,D+,24,Solid D
16,AZ-04,D+,2,Solid D
17,AZ-05,R+,11,Solid R
18,AZ-06,R+,3,Tossup
19,AZ-07,D+,15,Solid D
20,AZ-08,R+,10,Solid R
21,AZ-09,R+,16,Solid R
22,AR-01,R+,22,Solid R
23,AR-02,R+,9,Solid R
24,AR-03,R+,15,Solid R
25,AR-04,R+,20,Solid R
26,CA-Sen (Special),D+,13,Solid D
27,CA-Sen,D+,13,Solid D
28,CA-01,R+,12,Solid R
29,CA-02,D+,23,Solid D
30,CA-03,R+,4,Likely R
31,CA-04,D+,17,Solid D
32,CA-05,R+,9,Solid R
33,CA-06,D+,7,Solid D
34,CA-07,D+,17,Solid D
35,CA-08,D+,26,Solid D
36,CA-09,D+,5,Likely D
37,CA-10,D+,18,Solid D
38,CA-11,D+,37,Solid D
39,CA-12,D+,40,Solid D
40,CA-13,D+,4,Tossup
41,CA-14,D+,22,Solid D
42,CA-15,D+,28,Solid D
43,CA-16,D+,26,Solid D
44,CA-17,D+,23,Solid D
45,CA-18,D+,21,Solid D
46,CA-19,D+,18,Solid D
47,CA-20,R+,16,Solid R
48,CA-21,D+,9,Solid D
49,CA-22,D+,5,Tossup
50,CA-23,R+,8,Solid R
51,CA-24,D+,13,Solid D
52,CA-25,D+,6,Solid D
53,CA-26,D+,8,Solid D
54,CA-27,D+,4,Tossup
55,CA-28,D+,16,Solid D
56,CA-29,D+,26,Solid D
57,CA-30,D+,23,Solid D
58,CA-31,D+,15,Solid D
59,CA-32,D+,20,Solid D
60,CA-33,D+,12,Solid D
61,CA-34,D+,32,Solid D
62,CA-35,D+,13,Solid D
63,CA-36,D+,21,Solid D
64,CA-37,D+,37,Solid D
65,CA-38,D+,14,Solid D
66,CA-39,D+,12,Solid D
67,CA-40,R+,2,Likely R
68,CA-41,R+,3,Tossup
69,CA-42,D+,22,Solid D
70,CA-43,D+,32,Solid D
71,CA-44,D+,24,Solid D
72,CA-45,D+,2,Tossup
73,CA-46,D+,15,Solid D
74,CA-47,D+,3,Lean D
75,CA-48,R+,9,Solid R
76,CA-49,D+,3,Lean D
77,CA-50,D+,14,Solid D
78,CA-51,D+,12,Solid D
79,CA-52,D+,18,Solid D
